OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ShapeSTArea,ShapeSTLength
119,Commonwealth Avenue Mall II,City of Boston,A97,1,Fenway/Kenmore,0.98,"Commonwealth Ave btwn Charlesgate West & Kenmore St, nr Kenmore T Station",Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,42807.01856,1224.291643
120,Stony Brook Sewer Easement,Private,Sewer Easement,1,Fenway/Kenmore,0.288683, ,Residential District,"Malls, Squares & Plazas",NULL,Private,N,X,13623.46167,557.019713
121,Harry Ellis Dickson Park,City of Boston, ,1,Fenway/Kenmore,0.083517, ,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL, ,N,X,3649.33252,292.355414
122,Gallops Island,Commonwealth of Massachusetts,A97/Ch91/WPA,2,Harbor Islands,25.09406, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR, ,X,X,1093116.675,5244.11469
123,Lovells Island,Commonwealth of Massachusetts,A97/Ch91/WPA,2,Harbor Islands,60.955213, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR, ,X,X,2655256.282,9198.687669
124,Georges Island,Commonwealth of Massachusetts,A97/Ch91/WPA,2,Harbor Islands,40.45201, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR, ,X,X,1762120.888,5702.876007
125,Green Island,Commonwealth of Massachusetts,A97/Ch91/WPA,6,Harbor Islands,1.747342, ,Commercial/Office/Business District,Urban Wilds & Natural Areas,DCR, ,X,X,76115.57568,1091.095197
126,Little Calf Island,Commonwealth of Massachusetts,A97/Ch91/WPA,6,Harbor Islands,0.811753, ,Commercial/Office/Business District,Urban Wilds & Natural Areas,DCR, ,X,X,35360.60889,742.370899
127,Calf Island,Commonwealth of Massachusetts,A97/Ch91/WPA,6,Harbor Islands,22.422212, ,Commercial/Office/Business District,Urban Wilds & Natural Areas,DCR, ,X,X,976728.907,4398.551054
128,Outer Brewster Island,Commonwealth of Massachusetts,A97/Ch91/WPA,6,Harbor Islands,20.115545, ,Commercial/Office/Business District,Urban Wilds & Natural Areas,DCR, ,X,X,876248.697,4527.319948
129,Middle Brewster Island,Commonwealth of Massachusetts,A97/Ch91/WPA,6,Harbor Islands,13.649155, ,Commercial/Office/Business District,Urban Wilds & Natural Areas,DCR, ,X,X,594567.7554,3861.635003
130,Great Brewster Island,Commonwealth of Massachusetts,A97/Ch91/WPA,6,Harbor Islands,23.935677, ,Commercial/Office/Business District,Urban Wilds & Natural Areas,DCR, ,X,X,1042656.636,5473.604922
